//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	     10000	      8211	      7343
       100	     10000	       667	       567
      1000	     10000	       657	       931
        10	     20000	       519	       243
       100	     20000	       560	       200
      1000	     20000	       464	     10495
     10000	     20000	       236	      1782
        10	     30000	       938	       369
       100	     30000	       535	       395
      1000	     30000	       768	       385
     10000	     30000	       553	       854
        10	     40000	      1382	       417
       100	     40000	      1084	       369
      1000	     40000	       758	       367
     10000	     40000	       518	       472
        10	     50000	       756	       605
       100	     50000	       885	       614
      1000	     50000	       888	       617
     10000	     50000	       962	       791
        10	     60000	      1248	       734
       100	     60000	      1059	       741
      1000	     60000	      1147	       908
     10000	     60000	      1150	       885
        10	     70000	      1264	      2711
       100	     70000	      1250	       855
      1000	     70000	      1237	       850
     10000	     70000	      1250	      1280
        10	     80000	      1246	       984
       100	     80000	      3022	       955
      1000	     80000	      1195	       972
     10000	     80000	      1719	      1372
        10	     90000	      1124	      1144
       100	     90000	      1416	       864
      1000	     90000	      1565	       981
     10000	     90000	      1680	      1010
        10	    100000	      1792	      1202
       100	    100000	      1851	      1225
      1000	    100000	      1714	      1203
     10000	    100000	      1818	      1364
        10	    110000	      1396	      1234
       100	    110000	      1659	      1343
      1000	    110000	      1963	      1342
     10000	    110000	      1960	      1514
        10	    120000	      2115	      1709
       100	    120000	      2343	      1159
      1000	    120000	      1860	      1322
     10000	    120000	      2196	      1862
        10	    130000	      2750	      1801
       100	    130000	      2994	      1780
      1000	    130000	      2986	      1570
     10000	    130000	      5990	      1947
        10	    140000	      2544	      1735
       100	    140000	      2680	      1842
      1000	    140000	     16039	      1779
     10000	    140000	      2690	      1823
        10	    150000	      2746	      1836
       100	    150000	      1751	      1362
      1000	    150000	      2244	      1812
     10000	    150000	      2712	      1933
        10	    160000	      6071	      1957
       100	    160000	      2841	      2161
      1000	    160000	     15987	      1991
     10000	    160000	      3661	      1906
        10	    170000	      1996	      1526
       100	    170000	      1917	      1539
      1000	    170000	      1937	      1517
     10000	    170000	      1979	      1475
        10	    180000	      2044	      1849
       100	    180000	      2044	      1635
      1000	    180000	      2062	      1614
     10000	    180000	      2085	      1551
        10	    190000	      2192	      1716
       100	    190000	      2172	      1696
      1000	    190000	      2167	      1696
     10000	    190000	      2205	      1611
        10	    200000	      2344	      1839
       100	    200000	      2524	      2437
      1000	    200000	      2270	      1792
     10000	    200000	      3132	      1766
    100000	    200000	      2697	      2075
        10	    210000	      2496	      1927
       100	    210000	      2419	      1884
      1000	    210000	      2385	      1912
     10000	    210000	      2441	      1824
    100000	    210000	      2812	      2106
        10	    220000	      3201	      2050
       100	    220000	      2494	      2097
      1000	    220000	      3255	      1956
     10000	    220000	      2554	      1875
    100000	    220000	      3102	      2150
        10	    230000	      2996	      2070
       100	    230000	      2601	      2037
      1000	    230000	      3376	      2073
     10000	    230000	      2702	      1902
    100000	    230000	      3069	      5407
        10	    240000	      2745	      2172
       100	    240000	      2722	      2150
      1000	    240000	      2707	      2446
     10000	    240000	      2787	      2519
    100000	    240000	      3214	      2361
        10	    250000	      3405	      2240
       100	    250000	      2882	      2260
      1000	    250000	      2833	      2231
     10000	    250000	      2899	      2307
    100000	    250000	      3321	      4141
        10	    260000	      4255	      3210
       100	    260000	      4124	      2875
      1000	    260000	      4170	      2928
     10000	    260000	      4365	      2825
    100000	    260000	      5412	      3235
        10	    270000	      4638	      3082
       100	    270000	      4298	      3006
      1000	    270000	      4307	      3001
     10000	    270000	      4403	      2892
    100000	    270000	      5324	      3424
        10	    280000	      4815	      3097
       100	    280000	      3204	      3165
      1000	    280000	      3292	      3125
     10000	    280000	      3232	      3013
    100000	    280000	      6103	      3429
        10	    290000	      4632	      3216
       100	    290000	      4649	      3455
      1000	    290000	      4679	      3379
     10000	    290000	      4744	      3142
    100000	    290000	      5939	      3916
        10	    300000	      5256	      3370
       100	    300000	      4788	      3350
      1000	    300000	      4828	      3380
     10000	    300000	      4958	      2578
    100000	    300000	      6173	      2443
        10	    310000	      5424	      2820
       100	    310000	      3519	      3011
      1000	    310000	      3504	      2834
     10000	    310000	      3624	      2596
    100000	    310000	      4175	      2520
        10	    320000	      4999	      2929
       100	    320000	      3599	      3544
      1000	    320000	      3757	      3110
     10000	    320000	      4025	      2813
    100000	    320000	      4368	      4188
        10	    330000	      3715	      2947
       100	    330000	      3718	      3835
      1000	    330000	      3723	      2918
     10000	    330000	      3831	      2684
    100000	    330000	      4404	      2546
        10	    340000	      3855	      3086
       100	    340000	      4040	      3099
      1000	    340000	      3830	      3011
     10000	    340000	      3917	      2892
    100000	    340000	      4555	      3924
        10	    350000	      4566	      3400
       100	    350000	      3949	      3215
      1000	    350000	      3999	      3128
     10000	    350000	      4006	      2848
    100000	    350000	      5230	      3791
        10	    360000	      4819	      3593
       100	    360000	      4860	      3214
      1000	    360000	      4546	      3228
     10000	    360000	      4413	      3797
    100000	    360000	      4834	      2772
        10	    370000	      5386	      3952
       100	    370000	      4746	      3287
      1000	    370000	      4237	      3332
     10000	    370000	      4253	      2961
    100000	    370000	      4971	      2825
        10	    380000	      4286	      4333
       100	    380000	      4318	      3411
      1000	    380000	      4387	      3374
     10000	    380000	      4489	      3151
    100000	    380000	      5536	      2769
        10	    390000	      4425	      3567
       100	    390000	      4662	      3571
      1000	    390000	      4508	      3503
     10000	    390000	      4495	      3202
    100000	    390000	      5672	      3996
        10	    400000	      5883	      3938
       100	    400000	      4526	      3555
      1000	    400000	      4534	      3515
     10000	    400000	      4615	      4054
    100000	    400000	      5373	      2816
        10	    410000	      4785	      3677
       100	    410000	      4639	      3640
      1000	    410000	      6624	      3983
     10000	    410000	      5165	      3347
    100000	    410000	      6213	      2940
        10	    420000	      6884	      3756
       100	    420000	      4726	      3952
      1000	    420000	      4760	      3750
     10000	    420000	      4858	      3433
    100000	    420000	      6303	      4394
        10	    430000	      4951	      3868
       100	    430000	      4858	      3809
      1000	    430000	      4881	      4249
     10000	    430000	      4967	      3536
    100000	    430000	      5822	      3373
        10	    440000	      5067	      3906
       100	    440000	      5027	      3931
      1000	    440000	      4997	      3907
     10000	    440000	      5149	      3576
    100000	    440000	      6790	      4296
        10	    450000	      5196	      4111
       100	    450000	      5468	      4019
      1000	    450000	      5148	      3992
     10000	    450000	      5247	      3709
    100000	    450000	      6621	      4250
        10	    460000	      5249	      4109
       100	    460000	      5210	      4650
      1000	    460000	      5292	      4186
     10000	    460000	      5805	      3768
    100000	    460000	      6834	      3030
        10	    470000	      5330	      4206
       100	    470000	      5314	      4227
      1000	    470000	      5294	      4151
     10000	    470000	      5432	      3839
    100000	    470000	      6503	      4447
        10	    480000	      5472	      4292
       100	    480000	      5428	      4330
      1000	    480000	      5440	      4243
     10000	    480000	      5541	      3910
    100000	    480000	      7272	      3142
        10	    490000	      5871	      4481
       100	    490000	      5521	      4380
      1000	    490000	      5530	      5181
     10000	    490000	      5629	      4585
    100000	    490000	      6649	      3148
        10	    500000	      6175	      4539
       100	    500000	      5635	      4508
      1000	    500000	      5687	      6400
     10000	    500000	      6288	      4038
    100000	    500000	      6837	      3272
        10	    510000	      6103	      4708
       100	    510000	      5720	      4550
      1000	    510000	      6360	      4506
     10000	    510000	      7042	      4081
    100000	    510000	      6920	      3525
        10	    520000	      5890	      5073
       100	    520000	      5879	      4794
      1000	    520000	      5838	      4698
     10000	    520000	      6922	      5271
    100000	    520000	      7514	      4914
        10	    530000	      6025	      4828
       100	    530000	      6006	      4868
      1000	    530000	      6019	      4757
     10000	    530000	      6207	      4279
    100000	    530000	      9709	      3311
        10	    540000	      6907	      4872
       100	    540000	      6187	      4809
      1000	    540000	      6191	      4777
     10000	    540000	      6680	      4389
    100000	    540000	      7270	      5370
        10	    550000	      6722	      4966
       100	    550000	      7082	      4928
      1000	    550000	      8397	      4955
     10000	    550000	      7316	      4383
    100000	    550000	      7539	      4959
        10	    560000	      6693	      6104
       100	    560000	      6330	      4997
      1000	    560000	      7134	      5101
     10000	    560000	      9346	      5523
    100000	    560000	      7547	      3423
        10	    570000	      6545	      5088
       100	    570000	      6498	      5094
      1000	    570000	      6575	      5106
     10000	    570000	      6579	      4561
    100000	    570000	      7691	      4269
        10	    580000	      6578	      5226
       100	    580000	      6569	      5230
      1000	    580000	      6596	      5926
     10000	    580000	      8331	      5135
    100000	    580000	      7872	      4282
        10	    590000	     10586	      5287
       100	    590000	      7767	      5231
      1000	    590000	      6747	      5424
     10000	    590000	      6837	      4708
    100000	    590000	      7966	      3587
        10	    600000	      6807	      5414
       100	    600000	      6798	      5301
      1000	    600000	      6816	      5323
     10000	    600000	      7815	      4812
    100000	    600000	      8128	      3668
        10	    610000	      6973	      6069
       100	    610000	      6920	      5502
      1000	    610000	      6931	      5502
     10000	    610000	      8056	      4873
    100000	    610000	      8328	      3623
        10	    620000	      7003	      6867
       100	    620000	      6989	      5505
      1000	    620000	      7044	      5513
     10000	    620000	      7295	      5188
    100000	    620000	     10388	      3676
        10	    630000	      7163	      5740
       100	    630000	      7067	      5573
      1000	    630000	      7095	      5728
     10000	    630000	      7339	      5045
    100000	    630000	      9099	      5200
        10	    640000	      7321	      5790
       100	    640000	      7228	      5620
      1000	    640000	      7899	      5729
     10000	    640000	      7821	      5126
    100000	    640000	      8990	      5061
