//  PatLen	   TextLen	  Naive-RT	    KMP-RT
     10000	    400000	      7890	      8312
    100000	    400000	      9655	     13692
        10	    410000	     21111	     15875
       100	    410000	      7240	     10853
      1000	    410000	      7760	     10476
     10000	    410000	      7424	     18839
    100000	    410000	     26839	     26986
        10	    420000	     17997	      5874
       100	    420000	     17048	      5930
      1000	    420000	     13445	      6044
     10000	    420000	      7782	     14550
    100000	    420000	      9412	     18944
        10	    430000	      7662	     16910
       100	    430000	     24244	      6158
      1000	    430000	     18537	      6142
     10000	    430000	     22044	     11675
    100000	    430000	     30753	      7603
        10	    440000	     22935	      6944
       100	    440000	     18743	      6489
      1000	    440000	     20656	      6785
     10000	    440000	     28256	      7827
    100000	    440000	     10104	     27766
        10	    450000	     28685	     14354
       100	    450000	      8070	      6244
      1000	    450000	      8024	      6434
     10000	    450000	     19049	      7497
    100000	    450000	     25774	     21441
        10	    460000	     12386	      6508
       100	    460000	     23172	      6545
      1000	    460000	     19034	      6618
     10000	    460000	     22359	      7633
    100000	    460000	     22900	      7917
        10	    470000	      8454	      8110
       100	    470000	      8366	      7039
      1000	    470000	      8543	      6818
     10000	    470000	     17575	      8136
    100000	    470000	     22831	     11017
        10	    480000	     18295	      6743
       100	    480000	     18648	      6775
      1000	    480000	      8592	      6917
     10000	    480000	      8829	      7986
    100000	    480000	     10647	     16526
        10	    490000	      8783	      6916
       100	    490000	      8745	      6921
      1000	    490000	      8785	      7106
     10000	    490000	      9050	      8471
    100000	    490000	     10907	      8535
        10	    500000	     14929	     19298
       100	    500000	     16455	     19044
      1000	    500000	     19619	      7195
     10000	    500000	     19204	     19640
    100000	    500000	     20958	     24982
        10	    510000	      9082	     17179
       100	    510000	     18320	      7294
      1000	    510000	      9112	      7343
     10000	    510000	     18401	     17941
    100000	    510000	     20535	     24840
        10	    520000	     23745	      7357
       100	    520000	     20320	      7393
      1000	    520000	      9404	      7530
     10000	    520000	     13345	      8711
    100000	    520000	     23172	     19189
        10	    530000	     22271	      7484
       100	    530000	      9522	      7566
      1000	    530000	      9431	      7703
     10000	    530000	      9721	      8887
    100000	    530000	     11827	      9357
        10	    540000	      9968	     21630
       100	    540000	     21919	     28344
      1000	    540000	     10355	     19676
     10000	    540000	      9906	     20744
    100000	    540000	     19881	     25949
        10	    550000	     12085	     25148
       100	    550000	     20845	     23656
      1000	    550000	     23172	     25242
     10000	    550000	     22843	     21039
    100000	    550000	     23279	     22670
        10	    560000	     26627	      9279
       100	    560000	     47211	      8021
      1000	    560000	     10788	     36311
     10000	    560000	     11035	     29203
    100000	    560000	     15562	     25695
        10	    570000	     28893	      8251
       100	    570000	     25086	      8123
      1000	    570000	     22421	      8643
     10000	    570000	     10773	      9721
    100000	    570000	     12937	     21869
        10	    580000	     29027	      8298
       100	    580000	     31910	      9419
      1000	    580000	     10498	      8929
     10000	    580000	     10792	      9831
    100000	    580000	     13714	     12443
        10	    590000	     11590	      8322
       100	    590000	     10949	      8950
      1000	    590000	     10801	      9221
     10000	    590000	     11253	     10639
    100000	    590000	     13178	     33239
        10	    600000	     25471	     27119
       100	    600000	     10634	     21792
      1000	    600000	     22312	     25242
     10000	    600000	     11024	     20795
    100000	    600000	     31900	     10830
        10	    610000	     11241	      8628
       100	    610000	     11019	      8689
      1000	    610000	     11335	      8881
     10000	    610000	     11254	     20654
    100000	    610000	     24533	     34335
        10	    620000	     24651	     10538
       100	    620000	     27355	     18244
      1000	    620000	     29985	     20892
     10000	    620000	     28813	     20326
    100000	    620000	     32168	     14959
        10	    630000	     11195	     11560
       100	    630000	     23137	      9137
      1000	    630000	     23999	     22197
     10000	    630000	     12968	     17414
    100000	    630000	     14676	     13191
        10	    640000	     11758	      9037
       100	    640000	     11448	      9108
      1000	    640000	     11564	     17667
     10000	    640000	     11955	     25573
    100000	    640000	     28960	     13298
        10	    650000	     24192	      9078
       100	    650000	     22198	     21146
      1000	    650000	     11655	     22014
     10000	    650000	     27024	     20863
    100000	    650000	     29847	     31393
        10	    660000	     20799	      9675
       100	    660000	     23696	     21118
      1000	    660000	     24739	     21489
     10000	    660000	     12428	     14593
    100000	    660000	     16644	     26865
        10	    670000	     26965	     16979
       100	    670000	     22056	     29376
      1000	    670000	     12619	     19733
     10000	    670000	     21332	     16807
    100000	    670000	     31467	     28058
        10	    680000	     12614	     20217
       100	    680000	     26561	      9568
      1000	    680000	     27471	     10687
     10000	    680000	     28896	     30381
    100000	    680000	     41924	     31138
        10	    690000	     14306	     19670
       100	    690000	     14205	     22334
      1000	    690000	     19103	     10423
     10000	    690000	     25550	     14805
    100000	    690000	     30459	     13228
        10	    700000	     14959	     10246
       100	    700000	     16771	     12881
      1000	    700000	     14133	     11946
     10000	    700000	     13515	     17360
    100000	    700000	     18200	     34603
        10	    710000	     27750	     10616
       100	    710000	     29271	     23589
      1000	    710000	     14133	     11282
     10000	    710000	     13327	     12563
    100000	    710000	     18846	     15653
        10	    720000	     27870	     19943
       100	    720000	     12958	     20218
      1000	    720000	     21602	     10310
     10000	    720000	     24767	     23076
    100000	    720000	     15860	     31983
        10	    730000	     13037	     10290
       100	    730000	     12989	     10273
      1000	    730000	     25018	     10560
     10000	    730000	     32459	     12200
    100000	    730000	     36340	     32588
        10	    740000	     32298	     23171
       100	    740000	     30135	     22739
      1000	    740000	     28243	     19285
     10000	    740000	     14080	     26585
    100000	    740000	     36581	     29235
        10	    750000	     13770	     10757
       100	    750000	     13947	     24898
      1000	    750000	     13635	     25433
     10000	    750000	     13970	     23665
    100000	    750000	     16752	     32897
        10	    760000	     34502	     21720
       100	    760000	     25989	     19626
      1000	    760000	     28486	     10862
     10000	    760000	     29388	     26637
    100000	    760000	     38844	     28860
        10	    770000	     14617	     10950
       100	    770000	     22464	     12146
      1000	    770000	     13830	     12917
     10000	    770000	     14275	     27927
    100000	    770000	     31358	     29078
        10	    780000	     14543	     24461
       100	    780000	     28627	     31437
      1000	    780000	     30070	     25256
     10000	    780000	     29757	     20210
    100000	    780000	     37338	     14655
        10	    790000	     16604	     11516
       100	    790000	     18823	     11559
      1000	    790000	     14597	     11803
     10000	    790000	     16063	     13299
    100000	    790000	     29274	     33788
        10	    800000	     14313	     11977
       100	    800000	     14409	     12130
      1000	    800000	     14346	     12207
     10000	    800000	     14724	     13718
    100000	    800000	     19798	     17466
        10	    810000	     17168	     11629
       100	    810000	     27004	     18803
      1000	    810000	     34212	     24687
     10000	    810000	     31007	     28501
    100000	    810000	     23444	     15059
        10	    820000	     44719	     37950
       100	    820000	     27832	     25836
      1000	    820000	     19596	     12470
     10000	    820000	     17991	     26256
    100000	    820000	     39228	     15364
        10	    830000	     26947	     12111
       100	    830000	     39485	     12178
      1000	    830000	     42544	     26268
     10000	    830000	     26017	     29457
    100000	    830000	     20562	     26830
        10	    840000	     28489	     11881
       100	    840000	     38420	     21079
      1000	    840000	     37517	     12797
     10000	    840000	     27957	     27409
    100000	    840000	     37592	     16192
        10	    850000	     30193	     25559
       100	    850000	     32221	     23095
      1000	    850000	     29470	     27245
     10000	    850000	     37618	     27451
    100000	    850000	     39033	     39715
        10	    860000	     30173	     16638
       100	    860000	     33312	     27344
      1000	    860000	     36699	     30146
     10000	    860000	     37959	     32135
    100000	    860000	     31208	     34203
        10	    870000	     17968	     20094
       100	    870000	     39279	     27305
      1000	    870000	     17621	     32159
     10000	    870000	     27213	     27698
    100000	    870000	     43117	     34385
        10	    880000	     20937	     14031
       100	    880000	     19864	     13698
      1000	    880000	     16979	     14194
     10000	    880000	     17741	     17023
    100000	    880000	     22576	     34672
        10	    890000	     28394	     13779
       100	    890000	     19191	     14762
      1000	    890000	     16968	     14159
     10000	    890000	     17856	     17066
    100000	    890000	     26928	     32311
        10	    900000	     17008	     16311
       100	    900000	     20536	     31999
      1000	    900000	     16981	     33870
     10000	    900000	     18729	     17117
    100000	    900000	     22569	     38129
        10	    910000	     17422	     32763
       100	    910000	     20465	     12764
      1000	    910000	     17425	     22441
