//  PatLen	   TextLen	  Naive-RT	    KMP-RT
    100000	    410000	      4208	      2259
        10	    420000	      3755	      2685
       100	    420000	      3785	      2700
      1000	    420000	      3741	      2654
     10000	    420000	      3765	      2471
    100000	    420000	      4414	      2293
        10	    430000	      3810	      2724
       100	    430000	      3806	      2712
      1000	    430000	      3798	      2752
     10000	    430000	      3972	      2596
    100000	    430000	      4436	      2304
        10	    440000	      3909	      2810
       100	    440000	      3989	      2789
      1000	    440000	      3895	      2766
     10000	    440000	      4729	      2612
    100000	    440000	      4587	      2349
        10	    450000	      4036	      2863
       100	    450000	      4185	      2855
      1000	    450000	      3987	      2836
     10000	    450000	      4064	      2628
    100000	    450000	      4633	      2366
        10	    460000	      4119	      2967
       100	    460000	      4083	      2893
      1000	    460000	      4082	      2909
     10000	    460000	      4163	      2668
    100000	    460000	      4787	      2435
        10	    470000	      4201	      2970
       100	    470000	      4141	      2973
      1000	    470000	      4218	      2979
     10000	    470000	      4218	      2758
    100000	    470000	      4931	      2427
        10	    480000	      4272	      3039
       100	    480000	      4218	      3036
      1000	    480000	      4308	      3025
     10000	    480000	      4332	      2848
    100000	    480000	      4950	      2468
        10	    490000	      4416	      3127
       100	    490000	      4323	      3132
      1000	    490000	      4344	      3095
     10000	    490000	      4413	      2862
    100000	    490000	      5053	      2524
        10	    500000	      4466	      3185
       100	    500000	      4450	      3162
      1000	    500000	      4471	      3153
     10000	    500000	      4497	      2905
    100000	    500000	      5160	      2534
        10	    510000	      4532	      3221
       100	    510000	      5132	      3231
      1000	    510000	      4526	      3210
     10000	    510000	      4590	      2981
    100000	    510000	      5307	      2566
        10	    520000	      4613	      3303
       100	    520000	      4603	      3286
      1000	    520000	      4675	      3275
     10000	    520000	      4896	      3065
    100000	    520000	      5417	      2602
        10	    530000	      4724	      3392
       100	    530000	      4684	      3366
      1000	    530000	      4764	      3362
     10000	    530000	      4830	      3081
    100000	    530000	      5544	      2617
        10	    540000	      4826	      3446
       100	    540000	      4765	      3453
      1000	    540000	      4957	      3423
     10000	    540000	      4863	      3160
    100000	    540000	      5615	      2657
        10	    550000	      4932	      3504
       100	    550000	      4850	      3449
      1000	    550000	      4911	      3493
     10000	    550000	      4937	      3172
    100000	    550000	      5669	      2690
        10	    560000	      4988	      3538
       100	    560000	      4951	      3542
      1000	    560000	      5069	      3536
     10000	    560000	      5472	      3255
    100000	    560000	      5803	      2711
        10	    570000	      5268	      3637
       100	    570000	      5039	      3605
      1000	    570000	      5018	      3609
     10000	    570000	      5209	      3317
    100000	    570000	      5877	      2745
        10	    580000	      5187	      3687
       100	    580000	      5136	      3675
      1000	    580000	      5131	      3642
     10000	    580000	      5188	      3345
    100000	    580000	      5985	      2783
        10	    590000	      5253	      3759
       100	    590000	      5207	      3733
      1000	    590000	      5211	      3690
     10000	    590000	      5341	      3431
    100000	    590000	      6091	      2805
        10	    600000	      5380	      3820
       100	    600000	      5287	      3807
      1000	    600000	      5341	      3774
     10000	    600000	      5489	      3499
    100000	    600000	      6193	      2857
        10	    610000	      5417	      3897
       100	    610000	      5439	      3859
      1000	    610000	      5471	      3835
     10000	    610000	      5530	      3551
    100000	    610000	      6297	      4361
        10	    620000	      5484	      3953
       100	    620000	      5626	      3904
      1000	    620000	      5499	      3909
     10000	    620000	      5691	      3580
    100000	    620000	      6413	      2911
        10	    630000	      5657	      3978
       100	    630000	      5563	      3971
      1000	    630000	      5731	      3964
     10000	    630000	      5674	      3646
    100000	    630000	      6618	      2961
        10	    640000	      5693	      4068
       100	    640000	      5647	      4028
      1000	    640000	      5691	      4055
     10000	    640000	      5799	      3693
    100000	    640000	      6614	      2970
        10	    650000	      5770	      4133
       100	    650000	      5813	      4055
      1000	    650000	      5748	      4122
     10000	    650000	      5833	      3755
    100000	    650000	      6740	      3099
        10	    660000	      6059	      4159
       100	    660000	      5812	      4147
      1000	    660000	      6028	      4212
     10000	    660000	      5918	      3831
    100000	    660000	      6843	      3051
        10	    670000	      5958	      4302
       100	    670000	      5935	      4217
      1000	    670000	      5938	      4243
     10000	    670000	      6005	      3885
    100000	    670000	      6984	      3072
        10	    680000	      6071	      4297
       100	    680000	      6019	      4254
      1000	    680000	      6056	      4290
     10000	    680000	      6188	      3924
    100000	    680000	      7484	      3131
        10	    690000	      6157	      4409
